search_longitude,search_latitude,arrive,leave,search_method,timestamp,geometry,x,y,new_x,new_y,arrive_date,dayOfWeek
-58.440447199999994,-34.62069375,2021-02-28 15:56:00+00:00,2021-02-28 17:32:00+00:00,google,2021-01-31T19:35:42.438-03:00,POINT (-58.44044719999999 -34.62069375),-58.440447199999994,-34.62069375,0.09769580000000389,0.08486324999999795,2021-02-28,6
-58.41828804463148,-34.581668401209456,2021-02-13 15:12:45.668000+00:00,2021-02-13 16:12:45.668000+00:00,searchInThisArea,2021-02-13T12:13:03.714-03:00,POINT (-58.41828804463148 -34.58166840120946),-58.41828804463148,-34.581668401209456,0.11985495536851687,0.12388859879054337,2021-02-13,5
-58.20893257856369,-34.83109589037829,2021-01-25 17:45:27.320000+00:00,2021-01-25 18:45:27.320000+00:00,searchInThisArea,2021-01-25T14:45:44.753-03:00,POINT (-58.20893257856369 -34.83109589037829),-58.20893257856369,-34.83109589037829,0.32921042143630785,-0.12553889037829435,2021-01-25,0
-58.454943113029,-34.564354268301706,2021-02-25 11:20:09.755000+00:00,2021-02-25 12:20:09.755000+00:00,searchInThisArea,2021-02-25T08:22:32.254-03:00,POINT (-58.454943113029 -34.56435426830171),-58.454943113029,-34.564354268301706,0.0831998869709949,0.1412027316982929,2021-02-25,3
-58.45192389999999,-34.5592956,2020-09-17 10:45:00+00:00,2020-09-17 11:00:00+00:00,update_time_home,2020-09-17T08:13:03.302GMT-03:00,POINT (-58.45192389999999 -34.5592956),-58.45192389999999,-34.5592956,0.0862191000000081,0.1462614000000002,2020-09-17,3
-58.4630611538887,-34.618973854231214,2021-02-08 05:38:42.027000+00:00,2021-02-08 06:38:42.027000+00:00,searchInThisArea,2021-02-08T02:38:45.031-03:00,POINT (-58.4630611538887 -34.61897385423121),-58.4630611538887,-34.618973854231214,0.07508184611129565,0.08658314576878468,2021-02-08,0
-58.428173996508114,-34.58108154049506,2021-01-02 14:00:55.767000+00:00,2021-01-02 15:00:55.767000+00:00,this_area,2021-01-02T17:00:04.965GMT-03:00,POINT (-58.42817399650811 -34.58108154049506),-58.428173996508114,-34.58108154049506,0.10996900349188365,0.12447545950493577,2021-01-02,5
-58.46337765455246,-34.61881327159744,2021-02-19 02:38:56.659000+00:00,2021-02-19 03:38:56.659000+00:00,searchInThisArea,2021-02-18T23:38:59.051-03:00,POINT (-58.46337765455246 -34.61881327159744),-58.46337765455246,-34.61881327159744,0.07476534544753832,0.08674372840255984,2021-02-19,4
-58.4256486967206,-34.58415464614326,2021-02-10 11:15:32.953000+00:00,2021-02-10 12:15:32.953000+00:00,this_area,2021-02-10T14:10:42.798GMT-03:00,POINT (-58.4256486967206 -34.58415464614326),-58.4256486967206,-34.58415464614326,0.11249430327939791,0.12140235385673748,2021-02-10,2
-58.437592908740044,-34.57232948155369,2020-10-24 14:45:38.459000+00:00,2020-10-24 15:45:38.459000+00:00,this_area,2020-10-24T17:52:21.598GMT-03:00,POINT (-58.43759290874004 -34.57232948155369),-58.437592908740044,-34.57232948155369,0.1005500912599544,0.13322751844631142,2020-10-24,5
