lon,lat
-5.000000,40.000000
-4.997156,40.002951
-4.994313,40.005902
-4.991468,40.008853
-4.988623,40.011804
-4.985778,40.014755
-4.982933,40.017705
-4.980087,40.020655
-4.977240,40.023606
-4.974393,40.026556
-4.971546,40.029505
-4.968698,40.032455
-4.965850,40.035404
-4.963002,40.038354
-4.960153,40.041303
-4.957303,40.044252
-4.954453,40.047200
-4.951603,40.050149
-4.948753,40.053097
-4.945901,40.056046
-4.943050,40.058994
-4.940198,40.061941
-4.937346,40.064889
-4.934493,40.067837
-4.931640,40.070784
-4.928786,40.073731
-4.925932,40.076678
-4.923078,40.079625
-4.920223,40.082572
-4.917368,40.085518
-4.914512,40.088465
-4.911656,40.091411
-4.908799,40.094357
-4.905942,40.097303
-4.903085,40.100249
-4.900227,40.103194
-4.897369,40.106139
-4.894510,40.109085
-4.891651,40.112030
-4.888792,40.114974
-4.885932,40.117919
-4.883072,40.120864
-4.880211,40.123808
-4.877350,40.126752
-4.874488,40.129696
-4.871626,40.132640
-4.868764,40.135583
-4.865901,40.138527
-4.863038,40.141470
-4.860174,40.144413
-4.857310,40.147356
-4.854445,40.150299
-4.851580,40.153241
-4.848715,40.156184
-4.845849,40.159126
-4.842983,40.162068
-4.840116,40.165010
-4.837249,40.167952
-4.834382,40.170893
-4.831514,40.173835
-4.828645,40.176776
-4.825777,40.179717
-4.822907,40.182658
-4.820038,40.185599
-4.817168,40.188539
-4.814297,40.191480
-4.811426,40.194420
-4.808555,40.197360
-4.805683,40.200300
-4.802811,40.203239
-4.799939,40.206179
-4.797066,40.209118
-4.794192,40.212057
-4.791319,40.214996
-4.788444,40.217935
-4.785570,40.220874
-4.782695,40.223812
-4.779819,40.226751
-4.776943,40.229689
-4.774067,40.232627
-4.771190,40.235564
-4.768313,40.238502
-4.765435,40.241439
-4.762557,40.244377
-4.759679,40.247314
-4.756800,40.250251
-4.753920,40.253187
-4.751041,40.256124
-4.748160,40.259060
-4.745280,40.261997
-4.742399,40.264933
-4.739517,40.267869
-4.736635,40.270804
-4.733753,40.273740
-4.730870,40.276675
-4.727987,40.279610
-4.725104,40.282545
-4.722220,40.285480
-4.719335,40.288415
-4.716451,40.291350
-4.713565,40.294284
-4.710680,40.297218
-4.707794,40.300152
-4.704907,40.303086
-4.702020,40.306019
-4.699133,40.308953
-4.696245,40.311886
-4.693357,40.314819
-4.690468,40.317752
-4.687579,40.320685
-4.684689,40.323618
-4.681800,40.326550
-4.678909,40.329482
-4.676018,40.332414
-4.673127,40.335346
-4.670236,40.338278
-4.667344,40.341210
-4.664451,40.344141
-4.661558,40.347072
-4.658665,40.350003
-4.655771,40.352934
-4.652877,40.355865
-4.649982,40.358795
-4.647087,40.361726
-4.644192,40.364656
-4.641296,40.367586
-4.638400,40.370516
-4.635503,40.373445
-4.632606,40.376375
-4.629708,40.379304
-4.626810,40.382233
-4.623912,40.385162
-4.621013,40.388091
-4.618114,40.391020
-4.615214,40.393948
-4.612314,40.396876
-4.609414,40.399804
-4.606513,40.402732
-4.603611,40.405660
-4.600709,40.408588
-4.597807,40.411515
-4.594904,40.414442
-4.592001,40.417369
-4.589098,40.420296
-4.586194,40.423223
-4.583290,40.426149
-4.580385,40.429076
-4.577479,40.432002
-4.574574,40.434928
-4.571668,40.437854
-4.568761,40.440779
-4.565854,40.443705
-4.562947,40.446630
-4.560039,40.449555
-4.557131,40.452480
-4.554222,40.455405
-4.551313,40.458329
-4.548404,40.461254
-4.545494,40.464178
-4.542584,40.467102
-4.539673,40.470026
-4.536762,40.472950
